job,release,old_fab_order,new_fab_order
440,270,3.0,1
440,271,3.0,1
370,507,2.0,1
440,334,3.0,1
440,336,3.0,1
370,244,4.0,1
450,300,5.0,1
450,301,6.0,1
500,338,7.0,1
450,314,8.0,1
450,316,9.0,1
370,262,10.0,1
370,261,11.0,1
500,339,12.0,1
170,412,13.0,1
170,448,14.0,1
390,427,16.0,1
390,428,17.0,1
390,429,18.0,1
170,425,19.0,1
440,440,26.0,1
370,243,2.0,1
370,205,2.0,1
370,202,2.0,1
370,217,2.0,1
440,441,28.0,1
480,389,35.0,1
410,137,2.0,1
410,138,2.0,1
440,690,1.0,2
380,488,47.1,2
480,430,50.5,2
450,317,80.555,2
370,254,80.555,2
370,255,80.555,2
380,258,80.555,2
440,277,80.555,2
440,278,80.555,2
440,279,80.555,2
440,421,1.0,2
