Job,Release,Identifier,Job Name,Description,Stage
170,436,170-436,Garrett -Banyan High Point,Bld 1 North Exterior Stair Rail,Shipping completed
170,860,170-860,Garrett -Banyan High Point,Leasing Clubhouse Rails,Shipping completed
320,246,320-246,Thompson Thrift - Landing at Lemay,Building 18 Patio & Balcony Ultralox Rails Sheet 1 of 2,Shipping completed
320,V738,320-V738,Thompson Thrift - Landing at Lemay,Additional Panels and Parts Building #14 Balconies,Shipping completed
330,325,330-325,Brinkmann - Aspendale Littleton Senior,Courtyard Trellis,Released
330,458,330-458,Brinkmann - Aspendale Littleton Senior,Balcony Divider Screen PT3,Shipping completed
340,147,340-147,AMLI - Littleton Village II,Fitness stair,Shipping planning
340,157,340-157,AMLI - Littleton Village II,Amenity Stair,Shipping planning
340,327,340-327,AMLI - Littleton Village II,RFI 240 Missing Beam,Shipping completed
340,415,340-415,AMLI - Littleton Village II,Structural Framing at Leasing Fireplace,Shipping completed
340,419,340-419,AMLI - Littleton Village II,Garage Bollards,Shipping completed
340,V554,340-V554,AMLI - Littleton Village II,RFI #300 Beams,Shipping completed
340,V918,340-V918,AMLI - Littleton Village II,Missed Flitch Beams Over East Breezeway,Shipping completed
370,139,370-139,Fairfield Development - Vista Highlands,Bld 14 Trash Enclosure Gates,Shipping completed
370,146,370-146,Fairfield Development - Vista Highlands,Trellis B Embeds Dropshipped,Shipping completed
370,216,370-216,Fairfield Development - Vista Highlands,Bld 4 Trash Enclosure Gates,Shipping completed
370,238,370-238,Fairfield Development - Vista Highlands,Bld 8 Stair 1 Rails,Released
370,242,370-242,Fairfield Development - Vista Highlands,Bld 8 Stair 2 Rails,Released
370,243,370-243,Fairfield Development - Vista Highlands,Bld 9 Stair 1 Rails,Store at MHMW for shipping
370,247,370-247,Fairfield Development - Vista Highlands,Bld 10 Stair Rail 1,Released
370,248,370-248,Fairfield Development - Vista Highlands,Bld 10 Stair Rail 2,Released
370,249,370-249,Fairfield Development - Vista Highlands,Bld 10 Stair Rail 3,Released
370,254,370-254,Fairfield Development - Vista Highlands,Bld 11 Stair 1 Rails,Released
370,255,370-255,Fairfield Development - Vista Highlands,Bld 11 Stair 2 Rails,Released
370,263,370-263,Fairfield Development - Vista Highlands,Festoon Light Poles,Shipping completed
370,286,370-286,Fairfield Development - Vista Highlands,Clubhouse Site Handrails,Shipping completed
370,415,370-415,Fairfield Development - Vista Highlands,CO#5 - Garage Bollards,Shipping completed
370,534,370-534,Fairfield Development - Vista Highlands,Bulk Roof Ladder Pack,Store at MHMW for shipping
370,566,370-566,Fairfield Development - Vista Highlands,Bld 9 Ultralox Remainder Balcony Rails,Shipping completed
370,572,370-572,Fairfield Development - Vista Highlands,Bld 12 Ultralox Remainder Balcony Rails,Shipping completed
370,785,370-785,Fairfield Development - Vista Highlands,Trellis A Embeds Dropshipped,Shipping completed
380,109,380-109,Brinkman - Marshall Pointe,Garage Rails,Shipping completed
380,252,380-252,Brinkman - Marshall Pointe,Garage Low Wall Rails,Shipping completed
380,257,380-257,Brinkman - Marshall Pointe,North Ultralox Balcony Rails P1 of 2,Shipping completed
380,258,380-258,Brinkman - Marshall Pointe,North East Ultralox Balcony Rails P1 of 2,Released
380,259,380-259,Brinkman - Marshall Pointe,North West Ultralox Balcony Rails P1 of 3,Shipping completed
380,488,380-488,Brinkman - Marshall Pointe,South Exterior Ultralox Balcony Rails P1 of 4,Shipping completed
380,542,380-542,Brinkman - Marshall Pointe,Bollards - Drop Shipped,Shipping planning
380,778,380-778,Brinkman - Marshall Pointe,Roof Canopy,Shipping completed
400,392,400-392,Mountain West Contractors - Fieldhouse (Idaho Springs),Stringer Closure,Shipping completed
410,106,410-106,Lennar - Columnbine Square,Bld 1 Stair 1,Shipping completed
410,107,410-107,Lennar - Columnbine Square,Bld 1 Stair 2,Shipping completed
410,108,410-108,Lennar - Columnbine Square,Bld 1 Stair 3,Shipping completed
410,136,410-136,Lennar - Columnbine Square,Bld 7 Stair 1,Store at MHMW for shipping
410,189,410-189,Lennar - Columnbine Square,Elevator Misc Metal Bld 2,Shipping completed
410,190,410-190,Lennar - Columnbine Square,Elevator Misc Metal Bld 5,Shipping completed
410,207,410-207,Lennar - Columnbine Square,Bld 3 Landing Extention Rail,Shipping completed
410,319,410-319,Lennar - Columnbine Square,Elevator Door Columns Bld 2,Shipping completed
410,399,410-399,Lennar - Columnbine Square,Bld 1 Roof Ladder,Shipping completed
410,400,410-400,Lennar - Columnbine Square,Bld 3 Roof Ladder,Shipping completed
410,447,410-447,Lennar - Columnbine Square,HD Embeds Bld 7 Missing,Shipping completed
410,455,410-455,Lennar - Columnbine Square,Bld 2 Hold Down All Thread,Shipping completed
410,697,410-697,Lennar - Columnbine Square,Bld 3 Stair 1,Shipping completed
410,698,410-698,Lennar - Columnbine Square,Bld 3 Stair 2,Shipping completed
410,699,410-699,Lennar - Columnbine Square,Bld 3 Stair 3,Shipping completed
410,V296,410-V296,Lennar - Columnbine Square,#4 Rebar,Shipping completed
410,V427,410-V427,Lennar - Columnbine Square,Building 1 column extensions,Shipping completed
410,V983,410-V983,Lennar - Columnbine Square,Hold Down Embed Rework/ Rebar add,Shipping completed
420,V922,420-V922,Thompson Thrift - The Stacks at Wheat Ridge,Additional Saddles per GC direction,Shipping completed
440,212,440-212,Evergreen - Outlook Green Valley Ranch,Bld 12 Ultralox Post install,Shipping completed
440,269,440-269,Evergreen - Outlook Green Valley Ranch,Bld 6 Ultralox Remaing Install P1 of 2,Shipping completed
440,270,440-270,Evergreen - Outlook Green Valley Ranch,Bld 7 Ultralox Remaing Install P1 of 2,Shipping completed
440,271,440-271,Evergreen - Outlook Green Valley Ranch,Bld 8 Ultralox Remaing Install P1 of 2,Store at MHMW for shipping
440,277,440-277,Evergreen - Outlook Green Valley Ranch,Bld 9 Ultralox Remaing Install P1 of 2,Released
440,278,440-278,Evergreen - Outlook Green Valley Ranch,Bld 11 Ultralox Remaing Install P1 of 2,Released
440,310,440-310,Evergreen - Outlook Green Valley Ranch,Pour Stop Angle Install Bld 12,Shipping completed
440,311,440-311,Evergreen - Outlook Green Valley Ranch,Pour Stop Angle Install Bld 15,Shipping completed
440,312,440-312,Evergreen - Outlook Green Valley Ranch,Pour Stop Angle Install Bld 16,Shipping completed
440,334,440-334,Evergreen - Outlook Green Valley Ranch,Bld 10 Ultralox Remaing Install,Store at MHMW for shipping
440,335,440-335,Evergreen - Outlook Green Valley Ranch,Bld 12 Ultralox Remaing Install,Store at MHMW for shipping
440,336,440-336,Evergreen - Outlook Green Valley Ranch,Bld 16 Ultralox Remaing install,Store at MHMW for shipping
440,416,440-416,Evergreen - Outlook Green Valley Ranch,Landing Pour Stop Angle Remaining,Shipping completed
440,444,440-444,Evergreen - Outlook Green Valley Ranch,Bld 13 Steel Divider & Ultralox Balcony Rail,Released
440,476,440-476,Evergreen - Outlook Green Valley Ranch,Clubhouse Site Rails,Shipping completed
440,660,440-660,Evergreen - Outlook Green Valley Ranch,Bld 8 Stair Core 2 Type B2,Shipping completed
440,688,440-688,Evergreen - Outlook Green Valley Ranch,Bld 11 Stair Core 1 Type B1,Shipping completed
440,V471,440-V471,Evergreen - Outlook Green Valley Ranch,Amenity Steel Splices,Shipping completed
440,V734,440-V734,Evergreen - Outlook Green Valley Ranch,R4 Panel,Shipping completed
440,V766,440-V766,Evergreen - Outlook Green Valley Ranch,Electrical Cover Plates,Shipping completed
450,169,450-169,Marrow - Sandstone Ranch,Custom Sadle Plates CO#5,Shipping completed
450,313,450-313,Marrow - Sandstone Ranch,Upper Canopies Bld C,Released
450,315,450-315,Marrow - Sandstone Ranch,Upper Canopies Bld D,Released
450,317,450-317,Marrow - Sandstone Ranch,Lower Canopies Bld C,Released
450,318,450-318,Marrow - Sandstone Ranch,Lower Canopies Bld D,Released
450,900,450-900,Marrow - Sandstone Ranch,Additional Buckets CO #3,Shipping completed
480,430,480-430,Wood Partners - Alta Flatirons,Area 4 Structural Steel,Released
480,431,480-431,Wood Partners - Alta Flatirons,Hold Down Embed Install Area 2,Shipping completed
480,432,480-432,Wood Partners - Alta Flatirons,Hold Down Embed Install Area 3,Shipping completed
480,434,480-434,Wood Partners - Alta Flatirons,Hold Down Embed Install Area 5,Shipping completed
500,154,500-154,Brinkman - Novel Flatiron,Elevator Sump Cover,Store at MHMW for shipping
500,186,500-186,Brinkman - Novel Flatiron,Hold Down Embed Install,Shipping completed
500,324,500-324,Brinkman - Novel Flatiron,Hanging Table Embed,Shipping completed
500,422,500-422,Brinkman - Novel Flatiron,Hold Down Embeds Remaining,Shipping completed
500,438,500-438,Brinkman - Novel Flatiron,CO#08 Hanger Embeds,Shipping completed
510,151,510-151,W.E. O'Neill - Idaho Springs Police Dept.,Pipe Bollards,Released
510,V906,510-V906,W.E. O'Neill - Idaho Springs Police Dept.,3/4 Anchor Rods (Drop Ship Only),Shipping completed
510,V913,510-V913,W.E. O'Neill - Idaho Springs Police Dept.,"3/4"" Anchor Rods (24)",Shipping completed
530,403,530-403,Shaw - East Oak Townhomes,2 to 3 Stair Stringers,Shipping completed
900,172,900-172,Arlington - Velo Interlocken,Bld 2 Interior Step Rail,Shipping completed
900,889,900-889,Arlington - Velo Interlocken,Bld 3 Westside Stair Rail,Shipping completed
900,V811,900-V811,Arlington - Velo Interlocken,"Replacement Panel at 42""",Shipping completed
900,V916,900-V916,Arlington - Velo Interlocken,Diamond Plates 4' X 8' Sheets,Shipping completed
999,293,999-293,Saddleback Bag Drop,Saddleback Bag Drop,Shipping completed
