Mismatch,Job,Release,Job Name,DB Stage,DB Stage Group,Trello List,Card ID,Detail
A: Wrong Trello list,370,243,Fairfield Development - Vista Highlands,Paint complete,READY_TO_SHIP,Store at MHMW for shipping,694c0e24917979d9c02e341e,
A: Wrong Trello list,370,497,Fairfield Development - Vista Highlands,Paint complete,READY_TO_SHIP,Store at MHMW for shipping,690278f7dca60b7e6d04dd65,
A: Wrong Trello list,370,500,Fairfield Development - Vista Highlands,Paint complete,READY_TO_SHIP,Store at MHMW for shipping,6902785dd70775238fa408cd,
A: Wrong Trello list,370,501,Fairfield Development - Vista Highlands,Paint complete,READY_TO_SHIP,Store at MHMW for shipping,6902788c0291135acb31d6c7,
A: Wrong Trello list,370,502,Fairfield Development - Vista Highlands,Paint complete,READY_TO_SHIP,Store at MHMW for shipping,690277e9638e08d65a93eb31,
A: Wrong Trello list,370,507,Fairfield Development - Vista Highlands,Paint complete,READY_TO_SHIP,Store at MHMW for shipping,69027959d87d611bab8eb9bc,
A: Wrong Trello list,370,534,Fairfield Development - Vista Highlands,Paint complete,READY_TO_SHIP,Store at MHMW for shipping,69027d971f2edfefbe1ac8b1,
A: Wrong Trello list,380,514,Brinkman - Marshall Pointe,Paint complete,READY_TO_SHIP,Store at MHMW for shipping,68af77a05eaa3831b3386b10,
A: Wrong Trello list,480,433,Wood Partners - Alta Flatirons,Paint complete,READY_TO_SHIP,Osbaldo,69aee0caec0bcc8b12f8d2d1,
A: Wrong Trello list,500,154,Brinkman - Novel Flatiron,Paint complete,READY_TO_SHIP,Store at MHMW for shipping,692dadb6bea0acef1fa4f192,
A: No card ID,370,508,Fairfield Development - Vista Highlands,Paint complete,READY_TO_SHIP,(no card),,source=System
